<http://bio2rdf.org/drugbank:DB09030>	Vorapaxar [drugbank:DB09030]
<http://bio2rdf.org/drugbank:BE0000277>	Calcium-binding mitochondrial carrier protein Aralar2 [drugbank:BE0000277]
<http://bio2rdf.org/drugbank:BE0000144>	Retinoic acid receptor gamma [drugbank:BE0000144]
<http://bio2rdf.org/drugbank:DB08931>	<http://bio2rdf.org/drugbank:DB08931>
<http://bio2rdf.org/drugbank:DB06403>	<http://bio2rdf.org/drugbank:DB06403>
<http://bio2rdf.org/drugbank:BE0000011>	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial [drugbank:BE0000011]
<http://bio2rdf.org/drugbank:DB02481>	N-Benzylformamide [drugbank:DB02481]
<http://bio2rdf.org/drugbank:DB03906>	2-Phenylheme [drugbank:DB03906]
<http://bio2rdf.org/drugbank:BE0002672>	AlgQ2 [drugbank:BE0002672]
<http://bio2rdf.org/drugbank:DB04137>	Guanosine-5\'-Triphosphate [drugbank:DB04137]
<http://bio2rdf.org/drugbank:DB04004>	2,6-Diamino-8-(2-Dimethylaminoethylsulfanylmethyl)-3h-Quinazolin-4-One [drugbank:DB04004]
<http://bio2rdf.org/drugbank:DB08098>	[5-(5-nitro-2-furyl)-1,3,4-oxadiazol-2-yl]thio}acetic acid [drugbank:DB08098]
<http://bio2rdf.org/drugbank:DB05202>	ARC1779 [drugbank:DB05202]
<http://bio2rdf.org/drugbank:DB05335>	ketoprofen transdermal patch [drugbank:DB05335]
<http://bio2rdf.org/drugbank:BE0001473>	Histidine triad nucleotide-binding protein 1 [drugbank:BE0001473]
<http://bio2rdf.org/drugbank:DB07732>	2-[(2-NAPHTHYLSULFONYL)AMINO]ETHYL DIHYDROGEN PHOSPHATE [drugbank:DB07732]
<http://bio2rdf.org/drugbank:DB07865>	3-(1H-tetrazol-5-ylamino)cyclohex-2-en-1-one [drugbank:DB07865]
<http://bio2rdf.org/drugbank:DB00086>	Streptokinase [drugbank:DB00086]
<http://bio2rdf.org/drugbank:DB01151>	Desipramine [drugbank:DB01151]
<http://bio2rdf.org/drugbank:DB01284>	Cosyntropin [drugbank:DB01284]
<http://bio2rdf.org/drugbank:BE0001340>	Tubulin alpha-1A chain [drugbank:BE0001340]
<http://bio2rdf.org/drugbank:DB05468>	R411 [drugbank:DB05468]
<http://bio2rdf.org/drugbank:BE0003741>	2,3-diketo-5-methylthiopentyl-1-phosphate enolase [drugbank:BE0003741]
<http://bio2rdf.org/drugbank:BE0003874>	Peptide deformylase 1 [drugbank:BE0003874]
<http://bio2rdf.org/drugbank:DB09162>	Ferric Citrate [drugbank:DB09162]
<http://bio2rdf.org/drugbank:BE0000274>	T-cell surface glycoprotein CD3 epsilon chain [drugbank:BE0000274]
<http://bio2rdf.org/drugbank:DB06799>	Hexamethylenetetramine [drugbank:DB06799]
<http://bio2rdf.org/drugbank:DB08930>	Dolutegravir [drugbank:DB08930]
<http://bio2rdf.org/drugbank:BE0000141>	Sodium channel protein type 1 subunit alpha [drugbank:BE0000141]
<http://bio2rdf.org/drugbank:DB02482>	Phosphonothreonine [drugbank:DB02482]
<http://bio2rdf.org/drugbank:DB03909>	Adenosine-5\'-[Beta, Gamma-Methylene]Triphosphate [drugbank:DB03909]
<http://bio2rdf.org/drugbank:DB00920>	Ketotifen [drugbank:DB00920]
<http://bio2rdf.org/drugbank:DB04007>	Bromo-WR99210 [drugbank:DB04007]
<http://bio2rdf.org/drugbank:BE0002671>	AlgQ1 [drugbank:BE0002671]
<http://bio2rdf.org/drugbank:DB08097>	2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE [drugbank:DB08097]
<http://bio2rdf.org/drugbank:DB07864>	4-[(CYCLOPROPYLETHYNYL)OXY]-6-FLUORO-3-ISOPROPYLQUINOLIN-2(1H)-ONE [drugbank:DB07864]
<http://bio2rdf.org/drugbank:DB08096>	8-(2-CHLOROPHENYLAMINO)-2-(2,6-DIFLUOROPHENYLAMINO)-9-ETHYL-9H-PURINE-1,7-DIIUM [drugbank:DB08096]
<http://bio2rdf.org/drugbank:BE0003875>	Peptide deformylase 2 [drugbank:BE0003875]
<http://bio2rdf.org/drugbank:DB05203>	SPP1148 [drugbank:DB05203]
<http://bio2rdf.org/drugbank:DB07731>	4-[(E)-(3,5-DIAMINO-1H-PYRAZOL-4-YL)DIAZENYL]PHENOL [drugbank:DB07731]
<http://bio2rdf.org/drugbank:DB07997>	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE [drugbank:DB07997]
<http://bio2rdf.org/drugbank:BE0001472>	Mono-ADP-ribosyltransferase C3 [drugbank:BE0001472]
<http://bio2rdf.org/drugbank:DB00087>	Alemtuzumab [drugbank:DB00087]
<http://bio2rdf.org/drugbank:DB01152>	Candicidin [drugbank:DB01152]
<http://bio2rdf.org/drugbank:DB03680>	Tartronate [drugbank:DB03680]
<http://bio2rdf.org/drugbank:DB01285>	Corticotropin [drugbank:DB01285]
<http://bio2rdf.org/drugbank:DB05469>	R450 [drugbank:DB05469]
<http://bio2rdf.org/drugbank:BE0003742>	Nuclear receptor-interacting protein 1 [drugbank:BE0003742]
<http://bio2rdf.org/drugbank:DB06401>	Bazedoxifene [drugbank:DB06401]
<http://bio2rdf.org/drugbank:BE0000275>	Diamine acetyltransferase 2 [drugbank:BE0000275]
<http://bio2rdf.org/drugbank:BE0000142>	Penicillin-binding protein 2B [drugbank:BE0000142]
<http://bio2rdf.org/drugbank:DB02350>	N-Hydroxy-4-[(4-Methoxylphenyl)Sulfonyl]-2,2-Dimethyl-Hexahydro-1,4-Thiazepine-3(S)-Carboxamide [drugbank:DB02350]
<http://bio2rdf.org/drugbank:DB02483>	Etheno-Nad [drugbank:DB02483]
<http://bio2rdf.org/drugbank:DB00921>	Buprenorphine [drugbank:DB00921]
<http://bio2rdf.org/drugbank:DB03908>	Inhibitor Bea322 [drugbank:DB03908]
<http://bio2rdf.org/drugbank:BE0002670>	Iota-carrageenase [drugbank:BE0002670]
<http://bio2rdf.org/drugbank:DB04139>	6-Hydroxypropylthymine [drugbank:DB04139]
<http://bio2rdf.org/drugbank:DB04006>	[2-Amino-6-(2,6-Difluoro-Benzoyl)-Imidazo[1,2-a]Pyridin-3-Yl]-Phenyl-Methanone [drugbank:DB04006]
<http://bio2rdf.org/drugbank:BE0004940>	Hyaluronan-binding protein 2 [drugbank:BE0004940]
<http://bio2rdf.org/drugbank:BE0003876>	Peptide deformylase [drugbank:BE0003876]
<http://bio2rdf.org/drugbank:DB07996>	1-(5-ISOQUINOLINESULFONYL)-2-METHYLPIPERAZINE [drugbank:DB07996]
<http://bio2rdf.org/drugbank:DB07863>	2-chloro-5-nitro-N-phenylbenzamide [drugbank:DB07863]
<http://bio2rdf.org/drugbank:DB08095>	3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA [drugbank:DB08095]
<http://bio2rdf.org/drugbank:BE0003743>	Subtilisin DY [drugbank:BE0003743]
<http://bio2rdf.org/drugbank:DB02704>	(2r,3r,4r,5r)-3,4-Dihydroxy-N,N\'-Bis[(1s,2r)-2-Hydroxy-2,3-Dihydro-1h-Inden-1-Yl]-2,5-Bis(2-Phenylethyl)Hexanediamide [drugbank:DB02704]
<http://bio2rdf.org/drugbank:DB02837>	O4-Sulfonylgalactose [drugbank:DB02837]
<http://bio2rdf.org/drugbank:BE0001471>	Argininosuccinate synthase [drugbank:BE0001471]
<http://bio2rdf.org/drugbank:DB01639>	N-Methyl-Pyridoxal-5\'-Phosphate [drugbank:DB01639]
<http://bio2rdf.org/drugbank:DB00080>	Daptomycin [drugbank:DB00080]
<http://bio2rdf.org/drugbank:BE0003610>	3-oxo-5-beta-steroid 4-dehydrogenase [drugbank:BE0003610]
<http://bio2rdf.org/drugbank:DB07730>	5-(3-HYDROXYPHENYL)ISOTHIAZOL-3(2H)-ONE 1,1-DIOXIDE [drugbank:DB07730]
<http://bio2rdf.org/drugbank:DB05466>	R673 [drugbank:DB05466]
<http://bio2rdf.org/drugbank:DB03069>	Cytidine-5\'-Diphospho-Beta-D-Xylose [drugbank:DB03069]
<http://bio2rdf.org/drugbank:DB05200>	AT2220 [drugbank:DB05200]
<http://bio2rdf.org/drugbank:DB04001>	6-(Oxalyl-Amino)-1h-Indole-5-Carboxylic Acid [drugbank:DB04001]
<http://bio2rdf.org/drugbank:DB03903>	Tmr [drugbank:DB03903]
<http://bio2rdf.org/drugbank:BE0000272>	NADH-ubiquinone oxidoreductase chain 4L [drugbank:BE0000272]
<http://bio2rdf.org/drugbank:DB00308>	Ibutilide [drugbank:DB00308]
<http://bio2rdf.org/drugbank:BE0004941>	Inosine-5\'-monophosphate dehydrogenase [drugbank:BE0004941]
<http://bio2rdf.org/drugbank:DB04267>	Dipicolinic Acid [drugbank:DB04267]
<http://bio2rdf.org/drugbank:DB05201>	V24343 [drugbank:DB05201]
<http://bio2rdf.org/drugbank:DB07995>	N-[2-(4-BROMOCINNAMYLAMINO)ETHYL]-5-ISOQUINOLINE SULFONAMIDE [drugbank:DB07995]
<http://bio2rdf.org/drugbank:BE0003611>	Cytochrome P450 2C18 [drugbank:BE0003611]
<http://bio2rdf.org/drugbank:DB08094>	(4-AMINO-2-{[1-(METHYLSULFONYL)PIPERIDIN-4-YL]AMINO}PYRIMIDIN-5-YL)(2,3-DIFLUORO-6-METHOXYPHENYL)METHANONE [drugbank:DB08094]
<http://bio2rdf.org/drugbank:BE0003877>	Peptide deformylase [drugbank:BE0003877]
<http://bio2rdf.org/drugbank:BE0003744>	SDS hydrolase SdsA1 [drugbank:BE0003744]
<http://bio2rdf.org/drugbank:DB02705>	6-[N-(1-Isopropyl-1,2,3,4-Tetrahydro-7-Isoquinolinyl)Carbamyl]-2-Naphthalenecarboxamidine [drugbank:DB02705]
<http://bio2rdf.org/drugbank:DB02838>	3,4-Dihydro-2h-Pyrrolium-5-Carboxylate [drugbank:DB02838]
<http://bio2rdf.org/drugbank:BE0001470>	Vitamin B12 transporter BtuB [drugbank:BE0001470]
<http://bio2rdf.org/drugbank:DB00081>	Tositumomab [drugbank:DB00081]
<http://bio2rdf.org/drugbank:DB03068>	Zebularine [drugbank:DB03068]
<http://bio2rdf.org/drugbank:DB05467>	R667 [drugbank:DB05467]
<http://bio2rdf.org/drugbank:DB07862>	7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE [drugbank:DB07862]
<http://bio2rdf.org/drugbank:DB04133>	Degraded Cephaloridine [drugbank:DB04133]
<http://bio2rdf.org/drugbank:DB04000>	Bromo-Willardiine [drugbank:DB04000]
<http://bio2rdf.org/drugbank:DB03902>	Oxalic Acid [drugbank:DB03902]
<http://bio2rdf.org/drugbank:BE0004942>	Interphotoreceptor matrix proteoglycan 2 [drugbank:BE0004942]
<http://bio2rdf.org/drugbank:BE0000273>	Kynurenine--oxoglutarate transaminase 1 [drugbank:BE0000273]
<http://bio2rdf.org/drugbank:BE0000140>	Solute carrier family 12 member 6 [drugbank:BE0000140]
<http://bio2rdf.org/drugbank:DB00309>	Vindesine [drugbank:DB00309]
<http://bio2rdf.org/drugbank:DB04399>	<http://bio2rdf.org/drugbank:DB04399>
<http://bio2rdf.org/drugbank:DB05464>	NOX-700 [drugbank:DB05464]
<http://bio2rdf.org/drugbank:BE0003745>	Serine/threonine-protein kinase PLK1 [drugbank:BE0003745]
<http://bio2rdf.org/drugbank:BE0003878>	Genome polyprotein [drugbank:BE0003878]
<http://bio2rdf.org/drugbank:BE0003612>	Cytochrome P450 3A7 [drugbank:BE0003612]
<http://bio2rdf.org/drugbank:DB01280>	Nelarabine [drugbank:DB01280]
<http://bio2rdf.org/drugbank:DB08093>	3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE [drugbank:DB08093]
<http://bio2rdf.org/drugbank:DB02706>	Mercaptocarboxylate Inhibitor [drugbank:DB02706]
<http://bio2rdf.org/drugbank:DB02839>	2,4-Dihydroxybenzoic Acid [drugbank:DB02839]
<http://bio2rdf.org/drugbank:DB00082>	Pegvisomant [drugbank:DB00082]
<http://bio2rdf.org/drugbank:DB09291>	Rolapitant [drugbank:DB09291]
<http://bio2rdf.org/drugbank:DB07994>	N~3~-[5-(1H-INDOL-6-YL)-2-(PYRIDIN-2-YLMETHOXY)BENZYL]PYRIDINE-2,3-DIAMINE [drugbank:DB07994]
<http://bio2rdf.org/drugbank:DB07861>	(2R)-N-hydroxy-3-naphthalen-2-yl-2-[(naphthalen-2-ylsulfonyl)amino]propanamide [drugbank:DB07861]
<http://bio2rdf.org/drugbank:BE0004943>	Intracellular hyaluronan-binding protein 4 [drugbank:BE0004943]
<http://bio2rdf.org/drugbank:BE0004810>	RNA [drugbank:BE0004810]
<http://bio2rdf.org/drugbank:DB03905>	Succinamide-Coa [drugbank:DB03905]
<http://bio2rdf.org/drugbank:BE0000270>	Renin [drugbank:BE0000270]
<http://bio2rdf.org/drugbank:DB04136>	Lysophosphotidylserine [drugbank:DB04136]
<http://bio2rdf.org/drugbank:DB04269>	Cyclotheonamide A [drugbank:DB04269]
<http://bio2rdf.org/drugbank:DB04003>	(4-{2-Acetylamino-2-[1-(3-Carbamoyl-4-Cyclohexylmethoxy-Phenyl)-Ethylcarbamoyl}-Ethyl}-2-Phosphono-Phenoxy)-Acetic Acid [drugbank:DB04003]
<http://bio2rdf.org/drugbank:DB06795>	Mafenide [drugbank:DB06795]
<http://bio2rdf.org/drugbank:BE0003613>	Ribonucleoside-diphosphate reductase subunit M2 B [drugbank:BE0003613]
<http://bio2rdf.org/drugbank:BE0003746>	Prostasin [drugbank:BE0003746]
<http://bio2rdf.org/drugbank:DB01281>	Abatacept [drugbank:DB01281]
<http://bio2rdf.org/drugbank:DB08092>	3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide [drugbank:DB08092]
<http://bio2rdf.org/drugbank:BE0003879>	Genome polyprotein [drugbank:BE0003879]
<http://bio2rdf.org/drugbank:DB00083>	Botulinum Toxin Type A [drugbank:DB00083]
<http://bio2rdf.org/drugbank:DB09290>	Ramosetron [drugbank:DB09290]
<http://bio2rdf.org/drugbank:DB07860>	(2R)-2-(4-CHLOROPHENYL)-2-PHENYLETHANAMINE [drugbank:DB07860]
<http://bio2rdf.org/drugbank:DB05332>	Romiplostim [drugbank:DB05332]
<http://bio2rdf.org/drugbank:DB05465>	MLN-518 [drugbank:DB05465]
<http://bio2rdf.org/drugbank:DB07993>	N~3~-[3-(1H-INDOL-6-YL)BENZYL]PYRIDINE-2,3-DIAMINE [drugbank:DB07993]
<http://bio2rdf.org/drugbank:DB08319>	2\'-HYDROXY-1,1\'-BIPHENYL-2-SULFINIC ACID [drugbank:DB08319]
<http://bio2rdf.org/drugbank:BE0004944>	Layilin [drugbank:BE0004944]
<http://bio2rdf.org/drugbank:BE0004811>	Magnesium cation [drugbank:BE0004811]
<http://bio2rdf.org/drugbank:DB03904>	Urea [drugbank:DB03904]
<http://bio2rdf.org/drugbank:BE0001829>	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase [drugbank:BE0001829]
<http://bio2rdf.org/drugbank:BE0000271>	Folate receptor beta [drugbank:BE0000271]
<http://bio2rdf.org/drugbank:DB04268>	Methylumbelliferyl Chitotriose [drugbank:DB04268]
<http://bio2rdf.org/drugbank:DB04135>	5-Fluoro-4-(S)-Hydroxy-3,4-Dihydropyrimidine [drugbank:DB04135]
<http://bio2rdf.org/drugbank:DB04002>	4-Sulfonamide-[4-(Thiomethylaminobutane)]Benzamide [drugbank:DB04002]
<http://bio2rdf.org/drugbank:DB06663>	Pasireotide [drugbank:DB06663]
<http://bio2rdf.org/drugbank:DB08580>	4-bromo-2-{[(2R)-2-(2-chlorobenzyl)pyrrolidin-1-yl]carbonyl}aniline [drugbank:DB08580]
<http://bio2rdf.org/drugbank:BE0001217>	Aspartate aminotransferase [drugbank:BE0001217]
<http://bio2rdf.org/drugbank:DB03554>	5-Iodouracil [drugbank:DB03554]
<http://bio2rdf.org/drugbank:DB03421>	2-Phenethyl-2,3-Dihydro-Phthalazine-1,4-Dione [drugbank:DB03421]
<http://bio2rdf.org/drugbank:DB08808>	Bupranolol [drugbank:DB08808]
<http://bio2rdf.org/drugbank:DB01024>	Mycophenolic acid [drugbank:DB01024]
<http://bio2rdf.org/drugbank:BE0003125>	Alcohol dehydrogenase (NADP(+)) [drugbank:BE0003125]
<http://bio2rdf.org/drugbank:BE0003258>	Hexon protein [drugbank:BE0003258]
<http://bio2rdf.org/drugbank:DB07382>	N~2~-1H-benzimidazol-5-yl-N~4~-(3-cyclopropyl-1H-pyrazol-5-yl)pyrimidine-2,4-diamine [drugbank:DB07382]
<http://bio2rdf.org/drugbank:DB01157>	Trimetrexate [drugbank:DB01157]
<http://bio2rdf.org/drugbank:DB03687>	4-Diphosphocytidyl-2-C-Methyl-D-Erythritol [drugbank:DB03687]
<http://bio2rdf.org/drugbank:DB09039>	Eliglustat [drugbank:DB09039]
<http://bio2rdf.org/drugbank:BE0000890>	Cyclin-dependent kinase 5 [drugbank:BE0000890]
<http://bio2rdf.org/drugbank:BE0004323>	SRSF protein kinase 2 [drugbank:BE0004323]
<http://bio2rdf.org/drugbank:DB02222>	2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine [drugbank:DB02222]
<http://bio2rdf.org/drugbank:DB04885>	Cilansetron [drugbank:DB04885]
<http://bio2rdf.org/drugbank:DB02355>	Adenosine-5\'-Rp-Alpha-Thio-Triphosphate [drugbank:DB02355]
<http://bio2rdf.org/drugbank:BE0000018>	Beta-adrenergic receptor kinase 2 [drugbank:BE0000018]
<http://bio2rdf.org/drugbank:DB00926>	Etretinate [drugbank:DB00926]
<http://bio2rdf.org/drugbank:DB04752>	Phosphatidyl ethanol [drugbank:DB04752]
<http://bio2rdf.org/drugbank:BE0001216>	Malate synthase G [drugbank:BE0001216]
<http://bio2rdf.org/drugbank:BE0001349>	D-alanyl-D-alanine carboxypeptidase [drugbank:BE0001349]
<http://bio2rdf.org/drugbank:BE0003259>	Beta-fructosidase [drugbank:BE0003259]
<http://bio2rdf.org/drugbank:DB03553>	Glutaric Acid [drugbank:DB03553]
<http://bio2rdf.org/drugbank:DB03686>	S-(P-Nitrobenzyl)Glutathione [drugbank:DB03686]
<http://bio2rdf.org/drugbank:DB03420>	2,4-Deoxy-4-Guanidino-5-N-Acetyl-Neuraminic Acid [drugbank:DB03420]
<http://bio2rdf.org/drugbank:DB08807>	Bopindolol [drugbank:DB08807]
<http://bio2rdf.org/drugbank:BE0003126>	NADP-dependent fatty aldehyde dehydrogenase [drugbank:BE0003126]
<http://bio2rdf.org/drugbank:DB01158>	Bretylium [drugbank:DB01158]
<http://bio2rdf.org/drugbank:DB01025>	Amlexanox [drugbank:DB01025]
<http://bio2rdf.org/drugbank:DB00927>	Famotidine [drugbank:DB00927]
<http://bio2rdf.org/drugbank:BE0002414>	DNA-(apurinic or apyrimidinic site) lyase [drugbank:BE0002414]
<http://bio2rdf.org/drugbank:DB07381>	S-Atrolactic Acid [drugbank:DB07381]
<http://bio2rdf.org/drugbank:BE0000891>	Signal transducer and activator of transcription 5B [drugbank:BE0000891]
<http://bio2rdf.org/drugbank:DB09038>	Empagliflozin [drugbank:DB09038]
<http://bio2rdf.org/drugbank:DB07609>	N,N-DIMETHYL(5-(PYRIDIN-3-YL)FURAN-2-YL)METHANAMINE [drugbank:DB07609]
<http://bio2rdf.org/drugbank:DB02223>	Ly231514 Tetra Glu [drugbank:DB02223]
<http://bio2rdf.org/drugbank:DB04884>	Dapoxetine [drugbank:DB04884]
<http://bio2rdf.org/drugbank:BE0000019>	30S ribosomal protein S4 [drugbank:BE0000019]
<http://bio2rdf.org/drugbank:BE0004457>	Alpha-amylase 2B [drugbank:BE0004457]
<http://bio2rdf.org/drugbank:BE0004324>	Calcium/calmodulin-dependent protein kinase type 1D [drugbank:BE0004324]
<http://bio2rdf.org/drugbank:DB02489>	9-Methylguanine [drugbank:DB02489]
<http://bio2rdf.org/drugbank:DB04751>	Purvalanol A [drugbank:DB04751]
<http://bio2rdf.org/drugbank:BE0001215>	m7GpppX diphosphatase [drugbank:BE0001215]
<http://bio2rdf.org/drugbank:BE0001348>	ADP-ribose pyrophosphatase [drugbank:BE0001348]
<http://bio2rdf.org/drugbank:BE0003127>	Aldehyde reductase [drugbank:BE0003127]
<http://bio2rdf.org/drugbank:DB08806>	Roxatidine acetate [drugbank:DB08806]
<http://bio2rdf.org/drugbank:DB01026>	Ketoconazole [drugbank:DB01026]
<http://bio2rdf.org/drugbank:DB03556>	2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400 [drugbank:DB03556]
<http://bio2rdf.org/drugbank:DB01159>	Halothane [drugbank:DB01159]
<http://bio2rdf.org/drugbank:DB03423>	S-Adenosyl-L-Homoselenocysteine [drugbank:DB03423]
<http://bio2rdf.org/drugbank:BE0002413>	Nicotinamide phosphoribosyltransferase [drugbank:BE0002413]
<http://bio2rdf.org/drugbank:DB00928>	Azacitidine [drugbank:DB00928]
<http://bio2rdf.org/drugbank:BE0002679>	Uncharacterized acyl-CoA thioester hydrolase HI_0827 [drugbank:BE0002679]
<http://bio2rdf.org/drugbank:DB08805>	Metiamide [drugbank:DB08805]
<http://bio2rdf.org/drugbank:DB09037>	Pembrolizumab [drugbank:DB09037]
<http://bio2rdf.org/drugbank:DB07380>	1,1,1-TRIFLUORO-3-ACETAMIDO-4-PHENYL BUTAN-2-ONE(N-ACETYL-L-PHENYLALANYL TRIFLUOROMETHYL KETONE) [drugbank:DB07380]
<http://bio2rdf.org/drugbank:DB04754>	GUANOSINE-2\',3\'-O-ETHYLIDENEPHOSPHONATE [drugbank:DB04754]
<http://bio2rdf.org/drugbank:BE0004325>	Thiostrepton [drugbank:BE0004325]
<http://bio2rdf.org/drugbank:DB07608>	N-(5-{[(2S)-4-amino-2-(3-chlorophenyl)butanoyl]amino}-1H-indazol-3-yl)benzamide [drugbank:DB07608]
<http://bio2rdf.org/drugbank:BE0000149>	L-lactate dehydrogenase C chain [drugbank:BE0000149]
<http://bio2rdf.org/drugbank:BE0000016>	Coagulation factor VIII [drugbank:BE0000016]
<http://bio2rdf.org/drugbank:DB04887>	Brecanavir [drugbank:DB04887]
<http://bio2rdf.org/drugbank:BE0001214>	Xylose isomerase [drugbank:BE0001214]
<http://bio2rdf.org/drugbank:BE0001347>	Nicotinate-nucleotide pyrophosphorylase [carboxylating] [drugbank:BE0001347]
<http://bio2rdf.org/drugbank:BE0003128>	Thymidylate synthase [drugbank:BE0003128]
<http://bio2rdf.org/drugbank:DB07606>	6-(3,4-DIHYDROXYBENZYL)-3-ETHYL-1-(2,4,6-TRICHLOROPHENYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4(5H)-ONE [drugbank:DB07606]
<http://bio2rdf.org/drugbank:DB03555>	CRA_11092 [drugbank:DB03555]
<http://bio2rdf.org/drugbank:DB03688>	3-Hydroxy-Propanoic Acid [drugbank:DB03688]
<http://bio2rdf.org/drugbank:BE0002545>	GMP synthase [glutamine-hydrolyzing] [drugbank:BE0002545]
<http://bio2rdf.org/drugbank:DB00929>	Misoprostol [drugbank:DB00929]
<http://bio2rdf.org/drugbank:BE0002412>	DNA repair protein RAD51 homolog 1 [drugbank:BE0002412]
<http://bio2rdf.org/drugbank:BE0002678>	Acyl-CoA hydrolase [drugbank:BE0002678]
